time,mtilt,etilt,azimuth,height,band_width,pci,site_type,is_rail_site,earfcn,duplex_mode,band,coverage_scenario,coverage_type
2018-03-26,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-03-27,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-03-28,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-03-29,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-03-30,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-03-31,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-01,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-02,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-03,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-04,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-05,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-06,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-07,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-08,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-09,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-10,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-11,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-12,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-13,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-14,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-15,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-16,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-17,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-18,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-19,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-20,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-21,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-22,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
2018-04-23,3.0,3.0,250.0,43.0,20,440,0,0,38496,0,F,村庄,室外
